rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
69,25-05-2005,3207,305,27-05-2005,2,15-02-2006
70,25-05-2005,2168,73,27-05-2005,2,15-02-2006
71,25-05-2005,2408,100,28-05-2005,1,15-02-2006
72,25-05-2005,2260,48,28-05-2005,2,15-02-2006
73,25-05-2005,517,391,01-06-2005,2,15-02-2006
74,25-05-2005,1744,265,26-05-2005,2,15-02-2006
75,25-05-2005,3393,510,03-06-2005,1,15-02-2006
76,25-05-2005,3021,1,03-06-2005,2,15-02-2006
77,25-05-2005,1303,451,26-05-2005,2,15-02-2006
78,25-05-2005,4067,135,31-05-2005,2,15-02-2006
79,25-05-2005,3299,245,03-06-2005,2,15-02-2006
80,25-05-2005,2478,314,31-05-2005,2,15-02-2006
81,25-05-2005,2610,286,02-06-2005,2,15-02-2006
82,25-05-2005,1388,427,01-06-2005,1,15-02-2006
83,25-05-2005,466,131,27-05-2005,1,15-02-2006
84,25-05-2005,1829,492,29-05-2005,1,15-02-2006
85,25-05-2005,470,414,29-05-2005,1,15-02-2006
86,25-05-2005,2275,266,30-05-2005,1,15-02-2006
87,25-05-2005,1586,331,29-05-2005,2,15-02-2006
88,25-05-2005,2221,53,29-05-2005,2,15-02-2006
89,25-05-2005,2181,499,29-05-2005,1,15-02-2006
90,25-05-2005,2984,25,01-06-2005,1,15-02-2006
91,25-05-2005,139,267,01-06-2005,1,15-02-2006
92,25-05-2005,775,302,31-05-2005,2,15-02-2006
93,25-05-2005,4360,288,03-06-2005,1,15-02-2006
94,25-05-2005,1675,197,30-05-2005,1,15-02-2006
95,25-05-2005,178,400,02-06-2005,2,15-02-2006
96,25-05-2005,3418,49,30-05-2005,2,15-02-2006
97,25-05-2005,1283,263,28-05-2005,2,15-02-2006
98,25-05-2005,2970,269,27-05-2005,2,15-02-2006
99,25-05-2005,535,44,28-05-2005,1,15-02-2006
100,25-05-2005,2599,208,02-06-2005,1,15-02-2006
101,25-05-2005,617,468,31-05-2005,1,15-02-2006
102,25-05-2005,373,343,31-05-2005,1,15-02-2006
103,25-05-2005,3343,384,03-06-2005,1,15-02-2006
104,25-05-2005,4281,310,27-05-2005,1,15-02-2006
105,25-05-2005,794,108,30-05-2005,2,15-02-2006
106,25-05-2005,3627,196,04-06-2005,2,15-02-2006
107,25-05-2005,2833,317,03-06-2005,2,15-02-2006
108,25-05-2005,3289,242,30-05-2005,1,15-02-2006
109,25-05-2005,1044,503,29-05-2005,2,15-02-2006
110,25-05-2005,4108,19,03-06-2005,2,15-02-2006
111,25-05-2005,3725,227,28-05-2005,1,15-02-2006
112,25-05-2005,2153,500,02-06-2005,1,15-02-2006
113,25-05-2005,2963,93,27-05-2005,2,15-02-2006
114,25-05-2005,4502,506,01-06-2005,1,15-02-2006
115,25-05-2005,749,455,29-05-2005,1,15-02-2006
116,25-05-2005,4453,18,26-05-2005,1,15-02-2006
117,25-05-2005,4278,7,31-05-2005,2,15-02-2006
118,25-05-2005,872,524,31-05-2005,1,15-02-2006
119,25-05-2005,1359,51,29-05-2005,2,15-02-2006
120,25-05-2005,37,365,01-06-2005,2,15-02-2006
121,25-05-2005,1053,405,29-05-2005,1,15-02-2006
122,25-05-2005,2908,273,02-06-2005,1,15-02-2006
123,25-05-2005,1795,43,26-05-2005,1,15-02-2006
124,25-05-2005,212,246,30-05-2005,2,15-02-2006
125,25-05-2005,952,368,02-06-2005,1,15-02-2006
126,25-05-2005,2047,439,28-05-2005,1,15-02-2006
127,25-05-2005,2026,94,02-06-2005,1,15-02-2006
128,25-05-2005,4322,40,29-05-2005,1,15-02-2006
129,25-05-2005,4154,23,04-06-2005,2,15-02-2006
130,25-05-2005,3990,56,30-05-2005,2,15-02-2006
131,25-05-2005,815,325,30-05-2005,2,15-02-2006
132,25-05-2005,3367,479,31-05-2005,1,15-02-2006
133,25-05-2005,399,237,30-05-2005,2,15-02-2006
134,25-05-2005,2272,222,02-06-2005,1,15-02-2006
135,25-05-2005,103,304,03-06-2005,1,15-02-2006
136,25-05-2005,2296,504,31-05-2005,1,15-02-2006
137,25-05-2005,2591,560,01-06-2005,2,15-02-2006
138,25-05-2005,4134,586,29-05-2005,2,15-02-2006
139,25-05-2005,327,257,29-05-2005,1,15-02-2006
140,25-05-2005,655,354,27-05-2005,1,15-02-2006
141,25-05-2005,811,89,02-06-2005,1,15-02-2006
142,25-05-2005,4407,472,29-05-2005,2,15-02-2006
143,25-05-2005,847,297,27-05-2005,2,15-02-2006
144,25-05-2005,1689,357,01-06-2005,2,15-02-2006
145,25-05-2005,3905,82,31-05-2005,1,15-02-2006
146,26-05-2005,1431,433,04-06-2005,2,15-02-2006
147,26-05-2005,633,274,29-05-2005,2,15-02-2006
148,26-05-2005,4252,142,01-06-2005,2,15-02-2006
149,26-05-2005,1084,319,02-06-2005,2,15-02-2006
150,26-05-2005,909,429,01-06-2005,2,15-02-2006
151,26-05-2005,2942,14,30-05-2005,1,15-02-2006
152,26-05-2005,2622,57,03-06-2005,1,15-02-2006
153,26-05-2005,3888,348,27-05-2005,1,15-02-2006
154,26-05-2005,1354,185,29-05-2005,2,15-02-2006
155,26-05-2005,288,551,01-06-2005,1,15-02-2006
156,26-05-2005,3193,462,27-05-2005,1,15-02-2006
157,26-05-2005,887,344,26-05-2005,2,15-02-2006
158,26-05-2005,2395,354,03-06-2005,2,15-02-2006
159,26-05-2005,3453,505,29-05-2005,1,15-02-2006
160,26-05-2005,1885,290,01-06-2005,1,15-02-2006
161,26-05-2005,2941,182,27-05-2005,1,15-02-2006
162,26-05-2005,1229,296,27-05-2005,2,15-02-2006
163,26-05-2005,2306,104,04-06-2005,1,15-02-2006
164,26-05-2005,1070,151,28-05-2005,1,15-02-2006
165,26-05-2005,2735,33,02-06-2005,1,15-02-2006
166,26-05-2005,3894,322,31-05-2005,1,15-02-2006
167,26-05-2005,865,401,27-05-2005,1,15-02-2006
168,26-05-2005,2714,469,02-06-2005,2,15-02-2006
169,26-05-2005,1758,381,27-05-2005,2,15-02-2006
170,26-05-2005,3688,107,02-06-2005,1,15-02-2006
171,26-05-2005,4483,400,03-06-2005,2,15-02-2006
172,26-05-2005,2873,176,29-05-2005,2,15-02-2006
173,26-05-2005,3596,533,28-05-2005,2,15-02-2006
174,26-05-2005,3954,552,28-05-2005,2,15-02-2006
175,26-05-2005,4346,47,03-06-2005,2,15-02-2006
176,26-05-2005,851,250,01-06-2005,2,15-02-2006
177,26-05-2005,3545,548,01-06-2005,2,15-02-2006
178,26-05-2005,1489,196,04-06-2005,2,15-02-2006
179,26-05-2005,2575,19,03-06-2005,1,15-02-2006
180,26-05-2005,2752,75,01-06-2005,1,15-02-2006
181,26-05-2005,2417,587,29-05-2005,2,15-02-2006
182,26-05-2005,4396,237,01-06-2005,2,15-02-2006
183,26-05-2005,2877,254,01-06-2005,1,15-02-2006
184,26-05-2005,1970,556,28-05-2005,1,15-02-2006
185,26-05-2005,2598,125,02-06-2005,2,15-02-2006
186,26-05-2005,1799,468,03-06-2005,2,15-02-2006
187,26-05-2005,4004,515,04-06-2005,1,15-02-2006
188,26-05-2005,3342,243,26-05-2005,1,15-02-2006
189,26-05-2005,984,247,27-05-2005,1,15-02-2006
190,26-05-2005,3962,533,01-06-2005,1,15-02-2006
191,26-05-2005,4365,412,28-05-2005,1,15-02-2006
192,26-05-2005,1897,437,02-06-2005,1,15-02-2006
193,26-05-2005,3900,270,30-05-2005,2,15-02-2006
194,26-05-2005,1337,29,30-05-2005,2,15-02-2006
195,26-05-2005,506,564,31-05-2005,2,15-02-2006
196,26-05-2005,190,184,27-05-2005,1,15-02-2006
197,26-05-2005,4212,546,03-06-2005,2,15-02-2006
198,26-05-2005,1789,54,04-06-2005,1,15-02-2006
199,26-05-2005,2135,71,28-05-2005,1,15-02-2006
200,26-05-2005,3926,321,31-05-2005,1,15-02-2006
201,26-05-2005,776,444,04-06-2005,2,15-02-2006
202,26-05-2005,674,20,02-06-2005,1,15-02-2006
203,26-05-2005,3374,109,03-06-2005,1,15-02-2006
204,26-05-2005,1842,528,30-05-2005,1,15-02-2006
205,26-05-2005,303,114,29-05-2005,2,15-02-2006
206,26-05-2005,1717,345,27-05-2005,1,15-02-2006
207,26-05-2005,102,47,27-05-2005,2,15-02-2006
208,26-05-2005,3669,274,27-05-2005,1,15-02-2006
209,26-05-2005,729,379,27-05-2005,1,15-02-2006
210,26-05-2005,1801,391,27-05-2005,2,15-02-2006
211,26-05-2005,4005,170,28-05-2005,1,15-02-2006
212,26-05-2005,764,59,30-05-2005,2,15-02-2006
213,26-05-2005,1505,394,31-05-2005,2,15-02-2006
214,26-05-2005,1453,98,31-05-2005,2,15-02-2006
215,26-05-2005,679,197,28-05-2005,2,15-02-2006
216,26-05-2005,1398,91,03-06-2005,1,15-02-2006
217,26-05-2005,4395,121,31-05-2005,2,15-02-2006
218,26-05-2005,2291,309,04-06-2005,2,15-02-2006
219,26-05-2005,3074,489,28-05-2005,1,15-02-2006
220,26-05-2005,1259,542,01-06-2005,1,15-02-2006
221,26-05-2005,3578,143,29-05-2005,1,15-02-2006
222,26-05-2005,2745,83,31-05-2005,2,15-02-2006
223,26-05-2005,3121,460,30-05-2005,1,15-02-2006
224,26-05-2005,4285,318,04-06-2005,1,15-02-2006
225,26-05-2005,651,467,01-06-2005,2,15-02-2006
226,26-05-2005,4181,221,31-05-2005,2,15-02-2006
227,26-05-2005,214,301,30-05-2005,1,15-02-2006
228,26-05-2005,511,571,04-06-2005,1,15-02-2006
229,26-05-2005,1131,312,31-05-2005,2,15-02-2006
230,26-05-2005,1085,58,30-05-2005,1,15-02-2006
231,26-05-2005,4032,365,27-05-2005,1,15-02-2006
232,26-05-2005,2945,256,27-05-2005,2,15-02-2006
233,26-05-2005,715,531,28-05-2005,2,15-02-2006
234,26-05-2005,1321,566,03-06-2005,2,15-02-2006
235,26-05-2005,3537,119,04-06-2005,1,15-02-2006
236,26-05-2005,1265,446,28-05-2005,1,15-02-2006
237,26-05-2005,241,536,29-05-2005,1,15-02-2006
238,26-05-2005,503,211,27-05-2005,1,15-02-2006
239,26-05-2005,131,49,01-06-2005,2,15-02-2006
240,26-05-2005,3420,103,04-06-2005,1,15-02-2006
241,26-05-2005,4438,245,28-05-2005,2,15-02-2006
242,26-05-2005,2095,214,02-06-2005,1,15-02-2006
243,26-05-2005,1721,543,03-06-2005,2,15-02-2006
244,26-05-2005,1041,257,31-05-2005,1,15-02-2006
245,26-05-2005,3045,158,27-05-2005,2,15-02-2006
246,26-05-2005,2829,240,29-05-2005,2,15-02-2006
247,26-05-2005,4095,102,28-05-2005,2,15-02-2006
248,26-05-2005,1913,545,31-05-2005,2,15-02-2006
249,26-05-2005,2428,472,28-05-2005,2,15-02-2006
250,26-05-2005,368,539,27-05-2005,1,15-02-2006
251,26-05-2005,4352,204,29-05-2005,1,15-02-2006
252,26-05-2005,1203,187,02-06-2005,1,15-02-2006
253,26-05-2005,2969,416,27-05-2005,1,15-02-2006
254,26-05-2005,1835,390,31-05-2005,2,15-02-2006
255,26-05-2005,3264,114,27-05-2005,1,15-02-2006
256,26-05-2005,3194,436,31-05-2005,1,15-02-2006
257,26-05-2005,2570,373,29-05-2005,2,15-02-2006
258,26-05-2005,3534,502,30-05-2005,2,15-02-2006
259,26-05-2005,30,482,04-06-2005,2,15-02-2006
260,26-05-2005,435,21,31-05-2005,2,15-02-2006
261,26-05-2005,1369,414,02-06-2005,2,15-02-2006
262,26-05-2005,4261,236,28-05-2005,2,15-02-2006
263,26-05-2005,1160,449,30-05-2005,2,15-02-2006
264,26-05-2005,2069,251,27-05-2005,2,15-02-2006
265,26-05-2005,2276,303,01-06-2005,1,15-02-2006
266,26-05-2005,3303,263,27-05-2005,2,15-02-2006
267,26-05-2005,1206,417,30-05-2005,2,15-02-2006
268,26-05-2005,1714,75,27-05-2005,1,15-02-2006
269,26-05-2005,3501,322,27-05-2005,2,15-02-2006
270,26-05-2005,207,200,03-06-2005,2,15-02-2006
271,26-05-2005,2388,92,03-06-2005,2,15-02-2006
272,26-05-2005,971,71,03-06-2005,2,15-02-2006
273,26-05-2005,1590,193,29-05-2005,2,15-02-2006
274,26-05-2005,656,311,03-06-2005,1,15-02-2006
275,26-05-2005,1718,133,04-06-2005,1,15-02-2006
276,26-05-2005,1221,58,03-06-2005,1,15-02-2006
277,26-05-2005,1409,45,28-05-2005,1,15-02-2006
278,26-05-2005,182,214,02-06-2005,2,15-02-2006
279,26-05-2005,661,384,03-06-2005,2,15-02-2006
280,26-05-2005,1896,167,27-05-2005,1,15-02-2006
281,26-05-2005,1208,582,27-05-2005,2,15-02-2006
282,26-05-2005,4486,282,01-06-2005,2,15-02-2006
283,26-05-2005,3530,242,31-05-2005,1,15-02-2006
284,26-05-2005,350,359,04-06-2005,2,15-02-2006
285,26-05-2005,2486,162,31-05-2005,2,15-02-2006
286,26-05-2005,314,371,04-06-2005,2,15-02-2006
287,26-05-2005,3631,17,02-06-2005,1,15-02-2006
288,26-05-2005,3546,82,03-06-2005,2,15-02-2006
289,26-05-2005,2449,81,28-05-2005,1,15-02-2006
290,26-05-2005,2776,429,30-05-2005,1,15-02-2006
291,26-05-2005,485,577,03-06-2005,2,15-02-2006
292,26-05-2005,4264,515,05-06-2005,1,15-02-2006
293,26-05-2005,1828,158,03-06-2005,2,15-02-2006
294,26-05-2005,2751,369,28-05-2005,1,15-02-2006
295,26-05-2005,4030,65,27-05-2005,2,15-02-2006
296,26-05-2005,3878,468,04-06-2005,2,15-02-2006
297,26-05-2005,1594,48,27-05-2005,2,15-02-2006
298,26-05-2005,1083,460,29-05-2005,2,15-02-2006
299,26-05-2005,4376,448,28-05-2005,2,15-02-2006
300,26-05-2005,249,47,05-06-2005,2,15-02-2006
301,26-05-2005,3448,274,01-06-2005,2,15-02-2006
302,26-05-2005,2921,387,03-06-2005,2,15-02-2006
303,26-05-2005,1111,596,27-05-2005,2,15-02-2006
304,26-05-2005,1701,534,02-06-2005,1,15-02-2006
305,26-05-2005,2665,464,02-06-2005,2,15-02-2006
306,26-05-2005,2781,547,28-05-2005,1,15-02-2006
307,26-05-2005,1097,375,04-06-2005,1,15-02-2006
308,26-05-2005,187,277,04-06-2005,2,15-02-2006
309,26-05-2005,1946,251,02-06-2005,2,15-02-2006
310,26-05-2005,593,409,02-06-2005,1,15-02-2006
311,26-05-2005,2830,201,01-06-2005,1,15-02-2006
312,26-05-2005,2008,143,02-06-2005,2,15-02-2006
313,26-05-2005,4156,594,29-05-2005,2,15-02-2006
314,26-05-2005,2851,203,28-05-2005,2,15-02-2006
315,26-05-2005,2847,238,29-05-2005,1,15-02-2006
316,26-05-2005,3828,249,29-05-2005,2,15-02-2006
317,26-05-2005,26,391,01-06-2005,2,15-02-2006
318,26-05-2005,2559,60,03-06-2005,2,15-02-2006
319,26-05-2005,3024,77,30-05-2005,1,15-02-2006
320,27-05-2005,1090,2,28-05-2005,2,15-02-2006
322,27-05-2005,4556,496,02-06-2005,1,15-02-2006
323,27-05-2005,2362,144,30-05-2005,1,15-02-2006
324,27-05-2005,3364,292,30-05-2005,1,15-02-2006
325,27-05-2005,2510,449,31-05-2005,2,15-02-2006
326,27-05-2005,3979,432,04-06-2005,2,15-02-2006
327,27-05-2005,2678,105,04-06-2005,1,15-02-2006
328,27-05-2005,2524,451,01-06-2005,1,15-02-2006
329,27-05-2005,2659,231,31-05-2005,2,15-02-2006
330,27-05-2005,1536,248,04-06-2005,2,15-02-2006
331,27-05-2005,1872,67,05-06-2005,1,15-02-2006
332,27-05-2005,1529,299,03-06-2005,2,15-02-2006
333,27-05-2005,4001,412,01-06-2005,2,15-02-2006
334,27-05-2005,3973,194,29-05-2005,1,15-02-2006
335,27-05-2005,1411,16,05-06-2005,2,15-02-2006
336,27-05-2005,1811,275,29-05-2005,1,15-02-2006
337,27-05-2005,751,19,02-06-2005,1,15-02-2006
338,27-05-2005,2596,165,01-06-2005,2,15-02-2006
339,27-05-2005,2410,516,04-06-2005,2,15-02-2006
340,27-05-2005,946,209,04-06-2005,2,15-02-2006
341,27-05-2005,4168,56,05-06-2005,1,15-02-2006
342,27-05-2005,4019,539,29-05-2005,2,15-02-2006
343,27-05-2005,3301,455,28-05-2005,1,15-02-2006
344,27-05-2005,2327,236,29-05-2005,2,15-02-2006
345,27-05-2005,1396,144,31-05-2005,1,15-02-2006
346,27-05-2005,4319,14,05-06-2005,2,15-02-2006
347,27-05-2005,1625,378,28-05-2005,2,15-02-2006
348,27-05-2005,1825,473,01-06-2005,1,15-02-2006
349,27-05-2005,2920,36,28-05-2005,2,15-02-2006
350,27-05-2005,2756,9,04-06-2005,2,15-02-2006
351,27-05-2005,3371,118,01-06-2005,1,15-02-2006
352,27-05-2005,4369,157,29-05-2005,1,15-02-2006
353,27-05-2005,3989,503,03-06-2005,2,15-02-2006
354,27-05-2005,2058,452,01-06-2005,1,15-02-2006
355,27-05-2005,141,446,01-06-2005,2,15-02-2006
356,27-05-2005,2868,382,30-05-2005,2,15-02-2006
357,27-05-2005,4417,198,30-05-2005,2,15-02-2006
358,27-05-2005,1925,102,29-05-2005,2,15-02-2006
359,27-05-2005,1156,152,29-05-2005,1,15-02-2006
360,27-05-2005,3489,594,03-06-2005,1,15-02-2006
361,27-05-2005,6,587,31-05-2005,1,15-02-2006
362,27-05-2005,2324,147,01-06-2005,1,15-02-2006
363,27-05-2005,4282,345,28-05-2005,2,15-02-2006
364,27-05-2005,833,430,31-05-2005,2,15-02-2006
365,27-05-2005,2887,167,04-06-2005,1,15-02-2006
366,27-05-2005,360,134,04-06-2005,2,15-02-2006
367,27-05-2005,3437,439,30-05-2005,2,15-02-2006
368,27-05-2005,1247,361,04-06-2005,2,15-02-2006
369,27-05-2005,944,508,01-06-2005,2,15-02-2006
370,27-05-2005,3347,22,05-06-2005,2,15-02-2006
371,27-05-2005,1235,295,05-06-2005,2,15-02-2006
372,27-05-2005,4089,510,04-06-2005,2,15-02-2006
373,27-05-2005,1649,464,01-06-2005,1,15-02-2006
374,27-05-2005,4420,337,05-06-2005,1,15-02-2006
375,27-05-2005,1815,306,04-06-2005,1,15-02-2006
376,27-05-2005,3197,542,02-06-2005,1,15-02-2006
377,27-05-2005,3012,170,02-06-2005,2,15-02-2006
378,27-05-2005,2242,53,29-05-2005,1,15-02-2006
379,27-05-2005,3462,584,02-06-2005,1,15-02-2006
380,27-05-2005,1777,176,04-06-2005,1,15-02-2006
381,27-05-2005,2748,371,31-05-2005,1,15-02-2006
382,27-05-2005,4358,183,31-05-2005,1,15-02-2006
383,27-05-2005,955,298,03-06-2005,1,15-02-2006
384,27-05-2005,910,371,02-06-2005,2,15-02-2006
385,27-05-2005,1565,213,30-05-2005,2,15-02-2006
386,27-05-2005,1288,109,30-05-2005,1,15-02-2006
387,27-05-2005,2684,506,01-06-2005,2,15-02-2006
388,27-05-2005,434,28,30-05-2005,1,15-02-2006
389,27-05-2005,691,500,05-06-2005,2,15-02-2006
390,27-05-2005,3759,48,02-06-2005,2,15-02-2006
391,27-05-2005,2193,197,01-06-2005,2,15-02-2006
392,27-05-2005,263,359,01-06-2005,2,15-02-2006
393,27-05-2005,145,251,28-05-2005,2,15-02-2006
394,27-05-2005,1890,274,03-06-2005,2,15-02-2006
395,27-05-2005,752,575,31-05-2005,1,15-02-2006
396,27-05-2005,1020,112,29-05-2005,1,15-02-2006
397,27-05-2005,4193,544,28-05-2005,2,15-02-2006
398,27-05-2005,1686,422,02-06-2005,1,15-02-2006
399,27-05-2005,553,204,29-05-2005,1,15-02-2006
400,27-05-2005,258,249,31-05-2005,2,15-02-2006
401,27-05-2005,2179,46,29-05-2005,2,15-02-2006
402,27-05-2005,461,354,30-05-2005,2,15-02-2006
403,27-05-2005,3983,424,29-05-2005,2,15-02-2006
404,27-05-2005,1293,168,30-05-2005,1,15-02-2006
405,27-05-2005,4090,272,05-06-2005,2,15-02-2006
406,27-05-2005,2136,381,30-05-2005,1,15-02-2006
407,27-05-2005,1077,44,31-05-2005,1,15-02-2006
408,27-05-2005,1438,84,28-05-2005,1,15-02-2006
409,27-05-2005,3652,220,02-06-2005,2,15-02-2006
410,27-05-2005,4010,506,02-06-2005,2,15-02-2006
411,27-05-2005,1434,388,03-06-2005,1,15-02-2006
412,27-05-2005,1400,375,29-05-2005,2,15-02-2006
413,27-05-2005,3516,307,03-06-2005,1,15-02-2006
414,27-05-2005,1019,219,31-05-2005,2,15-02-2006
415,27-05-2005,3698,304,28-05-2005,2,15-02-2006
416,27-05-2005,2371,222,29-05-2005,2,15-02-2006
417,27-05-2005,2253,475,29-05-2005,2,15-02-2006
418,27-05-2005,3063,151,04-06-2005,2,15-02-2006
419,27-05-2005,2514,77,02-06-2005,1,15-02-2006
420,27-05-2005,619,93,03-06-2005,2,15-02-2006
421,27-05-2005,2985,246,04-06-2005,2,15-02-2006
422,27-05-2005,1152,150,01-06-2005,2,15-02-2006
423,27-05-2005,1783,284,02-06-2005,1,15-02-2006
424,27-05-2005,2815,35,05-06-2005,1,15-02-2006
425,27-05-2005,1518,182,03-06-2005,2,15-02-2006
426,27-05-2005,1103,522,05-06-2005,1,15-02-2006
427,27-05-2005,1677,288,05-06-2005,2,15-02-2006
428,27-05-2005,3349,161,31-05-2005,2,15-02-2006
429,27-05-2005,129,498,05-06-2005,2,15-02-2006
430,27-05-2005,1920,190,05-06-2005,1,15-02-2006
431,27-05-2005,4507,334,05-06-2005,1,15-02-2006
432,27-05-2005,1119,46,29-05-2005,1,15-02-2006
433,27-05-2005,4364,574,30-05-2005,2,15-02-2006
434,27-05-2005,3360,246,04-06-2005,1,15-02-2006
435,27-05-2005,3328,3,02-06-2005,2,15-02-2006
436,27-05-2005,4317,267,30-05-2005,2,15-02-2006
437,27-05-2005,1800,525,05-06-2005,2,15-02-2006
438,27-05-2005,4260,249,05-06-2005,2,15-02-2006
439,27-05-2005,354,319,02-06-2005,2,15-02-2006
440,27-05-2005,4452,314,29-05-2005,1,15-02-2006
441,27-05-2005,1578,54,30-05-2005,1,15-02-2006
442,27-05-2005,1457,403,30-05-2005,2,15-02-2006
443,27-05-2005,2021,547,04-06-2005,1,15-02-2006
444,27-05-2005,723,239,01-06-2005,1,15-02-2006
445,27-05-2005,1757,293,30-05-2005,2,15-02-2006
446,27-05-2005,1955,401,03-06-2005,2,15-02-2006
447,27-05-2005,3890,133,05-06-2005,1,15-02-2006
448,27-05-2005,2671,247,03-06-2005,2,15-02-2006
449,27-05-2005,2469,172,04-06-2005,2,15-02-2006
450,27-05-2005,1343,247,05-06-2005,1,15-02-2006
451,27-05-2005,205,87,29-05-2005,2,15-02-2006
452,27-05-2005,2993,127,30-05-2005,2,15-02-2006
453,27-05-2005,4425,529,29-05-2005,1,15-02-2006
454,27-05-2005,3499,575,30-05-2005,1,15-02-2006
455,27-05-2005,3344,343,04-06-2005,2,15-02-2006
456,27-05-2005,1699,92,02-06-2005,1,15-02-2006
457,27-05-2005,2368,300,02-06-2005,2,15-02-2006
458,27-05-2005,3350,565,06-06-2005,1,15-02-2006
459,27-05-2005,597,468,29-05-2005,1,15-02-2006
460,27-05-2005,4238,240,28-05-2005,1,15-02-2006
461,27-05-2005,2077,447,01-06-2005,1,15-02-2006
462,27-05-2005,2314,364,03-06-2005,2,15-02-2006
463,27-05-2005,826,21,04-06-2005,1,15-02-2006
464,27-05-2005,1313,193,30-05-2005,2,15-02-2006
465,27-05-2005,20,261,02-06-2005,1,15-02-2006
466,27-05-2005,1786,442,29-05-2005,1,15-02-2006
467,27-05-2005,339,557,01-06-2005,1,15-02-2006
468,27-05-2005,2656,101,04-06-2005,2,15-02-2006
